Price,Speed,HardDrive,Ram,Premium
1499,66,540,8,yes
2190,33,426,8,yes
2745,66,1600,24,yes
2744,50,420,8,yes
1849,33,212,4,no
2989,66,424,8,no
2595,50,340,8,yes
2744,66,528,16,yes
2799,33,240,4,no
2565,33,340,8,yes
1599,33,210,4,yes
2144,33,214,4,yes
2794,33,528,16,yes
1995,25,426,8,yes
2609,33,212,4,no
2444,66,214,4,yes
2790,50,1000,24,yes
2595,33,528,16,yes
2344,66,528,8,yes
1290,25,107,2,yes
2195,33,720,16,yes
2444,66,214,4,yes
2444,100,850,16,yes
1940,66,528,8,yes
3344,66,1000,24,yes
1890,33,214,4,yes
1899,33,120,4,no
2390,33,426,8,yes
3695,66,340,16,yes
1999,50,245,4,yes
2995,66,340,16,yes
3299,66,1000,16,yes
2159,66,540,8,yes
2804,100,1000,24,yes
2723,100,1200,24,yes
2895,50,452,16,yes
1904,66,528,8,yes
2590,33,528,16,yes
1559,66,212,4,yes
2344,66,1000,16,yes
1999,66,420,8,yes
2190,66,528,8,yes
2294,50,424,8,yes
1890,33,214,4,yes
1540,66,340,4,yes
1999,66,420,8,yes
2844,66,340,8,yes
2769,66,340,8,no
2069,33,340,4,no
1288,33,340,4,yes
1590,33,214,4,yes
1788,66,425,4,yes
2559,66,340,8,yes
2575,66,250,8,yes
2149,66,340,4,yes
1599,66,540,8,yes
1490,50,340,4,yes
2699,33,240,4,no
3015,66,340,8,yes
2190,33,426,8,yes
2059,66,1000,8,yes
2290,66,426,8,yes
1995,66,340,4,yes
2499,50,210,4,yes
2344,66,1000,16,yes
2520,50,212,8,yes
2120,25,528,8,yes
1695,33,420,4,yes
1790,66,528,8,yes
1399,33,130,4,yes
2999,66,450,16,yes
3044,33,1000,24,yes
1990,25,130,4,yes
2290,33,528,16,yes
2465,66,540,8,yes
2225,66,340,8,yes
2690,50,528,16,yes
2490,33,245,8,yes
2899,66,527,16,yes
2795,66,340,8,yes
1395,33,214,4,yes
1295,25,107,2,yes
2095,33,426,8,yes
2090,50,107,2,yes
2099,66,245,4,yes
1490,33,107,2,yes
3144,100,528,16,yes
1490,25,214,4,yes
1295,25,212,4,yes
2795,33,528,16,yes
2545,50,1000,24,yes
2149,66,245,4,yes
1990,25,426,8,yes
3090,66,340,16,yes
2140,50,528,8,yes
2854,33,1000,24,yes
2944,33,528,16,yes
1689,25,212,4,no
2473,100,850,16,yes
1279,33,130,4,yes
1399,25,270,4,yes
1295,33,214,4,yes
2690,33,528,16,yes
2594,50,720,16,yes
3048,33,270,4,no
1354,50,528,4,yes
2623,50,1200,24,yes
2145,66,420,8,yes
2690,50,340,8,yes
1398,66,340,4,yes
1489,25,120,4,no
1995,66,212,8,yes
2079,33,212,4,no
1599,25,170,4,yes
1723,50,850,8,yes
2995,66,528,16,yes
4195,50,452,8,yes
1854,100,850,8,yes
1795,33,170,4,yes
2240,50,1000,8,yes
3148,66,345,16,yes
2094,33,528,8,yes
2443,33,720,16,yes
1599,25,120,4,no
1395,33,107,2,yes
2390,33,720,16,yes
3094,33,1000,24,yes
2935,50,250,8,yes
1690,50,528,8,yes
2095,100,214,4,yes
2744,25,452,16,yes
2849,50,340,8,yes
2344,33,426,8,yes
2844,33,528,16,yes
1398,50,540,8,yes
2625,66,250,8,yes
2328,100,270,4,no
3149,66,230,8,yes
2643,66,528,16,yes
2690,66,528,16,yes
1795,50,340,4,yes
2220,33,250,8,yes
2075,66,425,8,yes
1520,33,424,4,yes
2165,66,540,8,yes
1999,66,540,16,yes
2040,33,528,8,yes
1440,50,340,4,yes
2775,66,420,16,yes
1544,66,528,4,yes
2744,50,420,8,yes
2575,50,250,8,yes
3044,50,528,16,yes
2390,66,850,16,yes
1844,50,107,2,yes
1995,50,212,8,yes
2705,66,545,8,yes
2490,100,426,8,yes
1890,25,214,4,yes
1299,25,120,4,yes
2390,66,528,8,yes
1299,66,270,4,yes
3140,66,1000,24,yes
1548,66,540,8,yes
1499,50,545,4,yes
2590,66,426,8,yes
2395,75,426,8,yes
2295,66,130,4,yes
2145,50,170,4,yes
3048,33,345,16,yes
1945,50,250,4,yes
1989,33,212,8,yes
2745,33,1000,24,yes
3090,33,1000,24,yes
1795,66,425,8,yes
2108,75,545,8,yes
2099,66,425,8,yes
2220,50,528,8,yes
1994,50,214,4,yes
2204,66,1000,16,yes
2999,66,450,8,yes
1268,50,428,4,yes
3144,66,540,16,yes
2795,50,528,16,yes
1740,50,528,8,yes
1709,50,540,8,yes
2444,66,850,16,yes
1973,33,528,8,yes
1799,33,170,4,yes
2545,66,340,8,yes
1699,66,540,8,yes
1844,66,850,8,yes
2744,66,426,8,yes
2345,50,720,16,yes
2374,33,212,4,no
1744,33,214,4,yes
1790,25,214,4,yes
2590,25,528,16,yes
1899,25,120,4,no
1795,33,528,8,yes
2894,66,1000,24,yes
3194,100,1000,24,yes
2795,33,452,16,yes
1349,33,270,4,no
2993,33,1000,24,yes
2794,33,540,16,yes
2295,50,424,8,yes
1690,33,214,4,yes
1775,33,170,4,yes
2955,50,250,8,yes
2175,66,250,4,yes
1945,50,528,8,yes
1595,33,212,4,yes
2254,50,720,16,yes
3095,66,1000,24,yes
1898,66,420,8,yes
2373,100,1000,16,yes
2575,66,250,8,yes
3714,66,527,8,no
1644,50,107,2,yes
1765,33,425,8,yes
1499,25,170,4,yes
1779,50,270,4,no
2599,50,212,8,yes
3995,66,1000,16,yes
2604,50,1000,24,yes
1744,50,107,2,yes
1588,33,340,4,yes
3094,50,452,16,yes
3379,66,527,8,no
1675,25,120,4,no
1744,33,107,2,yes
2744,25,528,16,yes
3694,50,452,8,yes
1345,66,528,8,yes
1694,33,107,2,yes
2944,66,340,8,yes
2194,25,426,8,yes
1468,50,340,4,yes
2090,25,426,8,yes
2290,66,214,4,yes
3035,50,250,8,yes
1595,66,214,4,yes
1395,25,107,2,yes
2390,66,214,4,yes
1719,33,120,4,no
1468,66,428,4,yes
1744,33,107,2,yes
2744,25,528,16,yes
2940,50,1000,24,yes
1982,25,212,4,no
1449,25,120,4,no
2208,100,545,8,yes
2339,66,425,8,yes
2094,33,528,8,yes
1259,25,120,4,no
1490,25,107,2,yes
1824,66,545,4,yes
2644,25,528,16,yes
1499,33,210,4,yes
2790,33,340,16,yes
1799,33,170,4,yes
3485,66,540,16,yes
1544,25,107,2,yes
2690,100,850,16,yes
1799,66,340,4,yes
2129,66,420,8,yes
2645,66,540,8,yes
2790,33,528,16,yes
2444,50,426,8,yes
2599,50,405,8,yes
2095,66,1000,16,yes
3795,66,500,8,yes
1899,50,120,4,yes
2590,66,528,16,yes
2195,75,420,4,yes
2890,50,528,16,yes
2643,66,528,16,yes
2195,66,426,8,yes
1891,50,364,8,no
1199,33,340,4,yes
2473,100,850,16,yes
1990,33,214,4,yes
1890,33,426,8,yes
2595,25,452,16,yes
2095,33,212,4,yes
2189,33,212,4,no
2239,66,425,8,yes
1490,50,340,4,yes
1795,66,85,2,yes
2545,50,720,16,yes
2344,33,426,8,yes
3019,66,340,8,no
2195,66,214,4,yes
2819,66,212,4,no
2995,100,528,16,yes
2144,25,426,8,yes
2118,66,1000,8,yes
1695,66,528,8,yes
2090,33,528,8,yes
2840,100,720,16,yes
2744,66,426,8,yes
2244,50,214,4,yes
2290,66,107,2,yes
2399,66,212,4,no
1499,33,212,4,yes
1844,66,214,4,yes
1865,33,250,4,yes
1645,33,214,4,yes
3928,100,728,8,no
2873,100,1000,24,yes
2627,66,424,8,yes
1995,33,250,4,yes
2035,33,250,8,yes
1744,66,528,8,yes
2015,66,540,8,yes
1349,66,270,8,yes
1599,66,340,8,yes
2244,75,214,4,yes
2929,66,527,16,yes
2304,100,1000,16,yes
2144,33,214,4,yes
2595,66,528,16,yes
1799,66,250,4,yes
1390,25,107,2,yes
2394,50,426,8,yes
3928,100,728,8,no
2554,66,1200,24,yes
2744,25,528,16,yes
2090,100,107,2,yes
2899,100,527,16,yes
2899,66,212,4,no
2090,25,214,4,yes
2999,66,450,8,yes
2225,33,250,8,yes
2189,33,212,4,no
1999,66,730,8,yes
1899,66,730,8,yes
3205,66,545,8,yes
2159,66,170,4,no
1544,33,107,2,yes
1448,33,340,4,yes
4999,66,525,8,yes
2095,50,850,16,yes
1995,33,214,4,yes
1948,66,425,8,yes
2125,66,250,8,yes
2344,66,426,8,yes
1908,66,545,4,yes
2694,33,720,16,yes
1799,66,425,8,yes
1288,33,340,4,yes
3145,66,424,16,yes
2544,66,426,8,yes
2245,33,250,8,yes
1749,66,425,8,yes
1754,66,528,8,yes
2444,66,214,4,yes
2943,33,1000,24,yes
1854,33,528,8,yes
2258,66,730,8,yes
2699,66,245,8,yes
2065,33,340,8,yes
1944,50,107,2,yes
1999,33,230,4,yes
1945,33,340,8,yes
1690,25,170,4,yes
1645,50,528,8,yes
1590,50,107,2,yes
1998,66,730,8,yes
2994,33,540,16,yes
2349,100,420,8,yes
1595,33,214,4,yes
1490,33,107,2,yes
2620,66,528,8,yes
2409,66,1000,8,yes
1990,66,528,8,yes
1449,66,365,8,yes
1745,33,528,8,yes
1788,25,212,4,no
2449,33,230,4,yes
1749,50,245,4,yes
2834,66,426,8,yes
2018,50,340,8,yes
3144,66,528,16,yes
2295,33,245,8,yes
1195,33,214,4,yes
2049,66,420,8,yes
1599,33,210,4,yes
2490,33,528,16,yes
2290,50,214,4,yes
2943,33,340,8,no
2035,100,1000,8,yes
2995,66,540,16,yes
1749,33,230,4,yes
1999,66,527,8,yes
1694,33,107,2,yes
1995,25,426,8,yes
2295,66,170,4,yes
1695,33,528,8,yes
2395,33,720,16,yes
1639,33,120,4,no
2294,33,424,8,yes
2599,50,212,8,yes
1944,75,107,2,yes
2290,50,214,4,yes
1944,33,107,2,yes
1795,33,240,4,yes
1590,50,214,4,yes
1399,25,170,4,yes
2004,33,528,8,yes
1994,50,107,2,yes
2090,50,214,4,yes
2554,75,1200,24,yes
2575,50,210,4,yes
2627,100,540,8,yes
3094,66,340,4,no
2890,33,452,16,yes
3789,66,527,8,no
2729,66,245,4,no
1849,33,340,4,no
2185,33,420,8,yes
1795,33,214,4,yes
1923,100,850,8,yes
2895,50,452,16,yes
2718,75,428,16,yes
2915,66,1080,16,yes
2099,66,420,8,yes
1590,33,214,4,yes
2890,75,528,16,yes
2238,100,545,8,yes
1699,33,340,4,yes
3044,33,1000,24,yes
2499,100,450,8,yes
1644,66,340,4,yes
1795,66,107,2,yes
2999,66,450,16,yes
1995,33,214,4,yes
2345,50,250,8,yes
1519,50,130,4,yes
1574,50,270,4,no
1944,50,214,4,yes
2599,50,230,4,yes
2595,33,540,16,yes
1999,66,720,8,yes
2044,33,214,4,yes
2093,33,528,8,yes
2499,33,170,4,yes
2144,25,426,8,yes
1823,66,850,8,yes
2688,33,270,4,no
2595,25,340,16,yes
2090,66,214,4,yes
2189,33,212,8,yes
2395,33,340,8,yes
1895,33,170,4,yes
1895,25,130,4,yes
2499,33,170,4,yes
2225,33,250,8,yes
2999,66,320,8,yes
1490,25,214,4,yes
2543,66,426,8,yes
1995,100,107,2,yes
2093,50,528,8,yes
2590,33,426,8,yes
1995,75,214,4,yes
2129,66,420,8,yes
2795,66,545,8,yes
1890,33,107,2,yes
1790,33,212,4,yes
1344,25,107,2,yes
1823,66,528,8,yes
1615,100,1000,4,yes
2695,66,528,8,yes
2490,75,426,8,yes
3948,33,345,16,yes
2320,33,424,4,yes
1970,66,420,4,yes
2804,66,1000,24,yes
2990,50,528,16,yes
2499,33,212,4,no
2320,33,528,8,yes
2690,100,426,8,yes
2190,50,528,8,yes
1805,33,425,8,yes
2189,50,212,4,no
2690,66,1000,24,yes
2744,50,340,8,yes
1545,66,214,4,yes
2444,100,850,16,yes
2575,100,530,8,yes
1795,33,85,2,yes
2569,50,340,8,no
2095,50,214,4,yes
2145,66,250,4,yes
1790,66,730,8,yes
2295,33,245,8,yes
1690,33,107,2,yes
2154,66,1000,16,yes
2090,66,214,4,yes
