userId,movieId,rating,timestamp,title,Group_Number
177,78637,2.5,1435837464,Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),3
514,76093,4,1533872585,How to Train Your Dragon (2010),1
252,78499,5,1498284330,Toy Story 3 (2010),2
567,76093,2.5,1525287804,How to Train Your Dragon (2010),1
586,81847,4.5,1529903135,Tangled (2010),8
50,78499,2,1514238650,Toy Story 3 (2010),2
328,81847,2,1494211368,Tangled (2010),8
562,78499,4.5,1368896472,Toy Story 3 (2010),2
334,76093,4,1290273727,How to Train Your Dragon (2010),1
292,79091,3.5,1323631972,Despicable Me (2010),4
586,78499,4.5,1529903138,Toy Story 3 (2010),2
292,76093,4,1293562572,How to Train Your Dragon (2010),1
401,81847,4,1510450423,Tangled (2010),8
339,78499,4,1460183480,Toy Story 3 (2010),2
68,81847,4,1304374485,Tangled (2010),8
534,80615,4,1459793416,Legend of the Guardians: The Owls of Ga'Hoole (2010),6
139,76093,2,1453924478,How to Train Your Dragon (2010),1
21,81564,2.5,1419794453,Megamind (2010),7
177,81847,5,1435525266,Tangled (2010),8
567,78499,2,1525288289,Toy Story 3 (2010),2
525,78499,3.5,1476476641,Toy Story 3 (2010),2
401,78499,3.5,1510449868,Toy Story 3 (2010),2
380,79274,5,1493421260,Batman: Under the Red Hood (2010),5
582,76093,4.5,1446792715,How to Train Your Dragon (2010),1
401,79091,3.5,1510449779,Despicable Me (2010),4
318,76093,4,1333821979,How to Train Your Dragon (2010),1
332,78499,4,1352673722,Toy Story 3 (2010),2
143,81847,5,1444769058,Tangled (2010),8
534,79091,4.5,1459787998,Despicable Me (2010),4
509,81847,4,1435994505,Tangled (2010),8
445,76093,3.5,1454621879,How to Train Your Dragon (2010),1
18,78499,4,1456744760,Toy Story 3 (2010),2
251,78499,5,1470676811,Toy Story 3 (2010),2
401,81564,4.5,1510449037,Megamind (2010),7
148,81847,4.5,1482549236,Tangled (2010),8
111,81564,2,1516141247,Megamind (2010),7
83,76093,2.5,1333842352,How to Train Your Dragon (2010),1
212,76093,2.5,1523216857,How to Train Your Dragon (2010),1
211,78499,4,1350913084,Toy Story 3 (2010),2
177,81564,4.5,1435804362,Megamind (2010),7
89,78637,4.5,1520408633,Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),3
73,79091,3.5,1464197287,Despicable Me (2010),4
111,79091,3.5,1516141074,Despicable Me (2010),4
246,81847,5,1354125736,Tangled (2010),8
119,78499,3.5,1436007608,Toy Story 3 (2010),2
432,78499,4,1328232875,Toy Story 3 (2010),2
605,76093,4,1277175655,How to Train Your Dragon (2010),1
525,79091,3,1476477471,Despicable Me (2010),4
388,78637,5,1386694309,Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),3
596,79091,3.5,1535709685,Despicable Me (2010),4
599,78499,2.5,1498516552,Toy Story 3 (2010),2
104,81847,4,1351209920,Tangled (2010),8
509,79091,3.5,1435994338,Despicable Me (2010),4
426,79091,5,1451080764,Despicable Me (2010),4
159,78499,5,1508640269,Toy Story 3 (2010),2
